iter	RMSE
0	1.12338592
1	1.093942077
2	1.065318303
3	1.03828855
4	1.013192277
5	0.9902001689
6	0.9687788254
7	0.9476335707
8	0.9269840317
9	0.9083798356
10	0.8914542506
11	0.8748309599
12	0.8589304188
13	0.8448180725
14	0.8308317147
15	0.8166522721
16	0.8040360523
17	0.7927935437
18	0.7817283015
19	0.7716078105
20	0.7615482763
21	0.7518334353
22	0.7422666927
23	0.7342049501
24	0.7260509312
25	0.7187539497
26	0.7118269383
27	0.7028119946
28	0.6969207375
29	0.6894688461
30	0.6842433181
31	0.6789153821
32	0.6741131762
33	0.6693396197
34	0.6652598995
35	0.6612445617
36	0.6568526771
37	0.6534787842
38	0.6486458901
39	0.6453268118
40	0.6398114987
41	0.6368382439
42	0.6341344892
43	0.6313609334
44	0.6287333731
45	0.625251015
46	0.6218680723
47	0.6182795101
48	0.616167091
49	0.6141433653
50	0.6100269987
51	0.6078157724
52	0.6045055555
53	0.6026481253
54	0.60048744
55	0.5977272579
56	0.5962003207
57	0.593787389
58	0.5920768826
59	0.5905905644
60	0.5889460575
61	0.5877233885
62	0.5849718355
63	0.5824643549
64	0.5812760112
65	0.5789271846
66	0.5775904172
67	0.5766255551
68	0.5740192542
69	0.5728827625
70	0.5714567331
71	0.5694206512
72	0.5683595914
73	0.5667914978
74	0.5656078071
75	0.5639169878
76	0.5619179175
77	0.5608579491
78	0.5601295669
79	0.5595860047
80	0.558395017
81	0.556468128
82	0.5554370805
83	0.5545574282
84	0.5529181376
85	0.5519978438
86	0.5509589009
87	0.5497659065
88	0.5491416925
89	0.5472926549
90	0.5460994946
91	0.5448370035
92	0.544188506
93	0.543422668
94	0.5421673235
95	0.5416169436
96	0.5407589686
97	0.5399543206
98	0.5386910228
99	0.5372635286
100	0.5367639438
101	0.5360042749
102	0.5351705206
103	0.5341840899
104	0.5337686053
105	0.5330084801
106	0.5323928068
107	0.5316519752
108	0.5306806495
109	0.5304043716
110	0.5297379444
111	0.5291489324
112	0.5284896531
113	0.5277179826
114	0.527252555
115	0.5269311315
116	0.5264661719
117	0.525875504
118	0.5254109364
119	0.5249726319
120	0.5246297133
121	0.5241413416
122	0.5236235494
123	0.522946681
124	0.5221002456
125	0.5215909581
126	0.5210256114
127	0.5204228987
128	0.5197997369
129	0.518869842
130	0.5182572464
131	0.517837783
132	0.5174917709
133	0.5168410157
134	0.5160237278
135	0.5154065688
136	0.5149244187
137	0.5145245359
138	0.5139563789
139	0.5135624092
140	0.5130174055
141	0.5125918393
142	0.5119151614
143	0.5114874289
144	0.5109347779
145	0.5104192777
146	0.5101491024
147	0.5096733623
148	0.5091122226
149	0.5086438056
150	0.5077196174
151	0.5072768301
152	0.5069242114
153	0.5065755872
154	0.5061617807
155	0.5057626673
156	0.5053401468
157	0.5051065746
158	0.5048753016
159	0.5041921007
160	0.5039034649
161	0.5033019228
162	0.5022875973
163	0.5018601582
164	0.5014288085
165	0.5008872307
166	0.5004124914
167	0.499701539
