"Station","Date_time","wind_direction.deg"
"BELISARIO","1/01/2008 00:00:00",87.96
"BELISARIO","1/01/2008 01:00:00",72.26
"BELISARIO","1/01/2008 02:00:00",86.11
"BELISARIO","1/01/2008 03:00:00",76.69
"BELISARIO","1/01/2008 04:00:00",107.54
"BELISARIO","1/01/2008 05:00:00",103.3
"BELISARIO","1/01/2008 06:00:00",106.73
"BELISARIO","1/01/2008 07:00:00",181.36
"BELISARIO","1/01/2008 08:00:00",99.47
"BELISARIO","1/01/2008 09:00:00",83.19
"BELISARIO","1/01/2008 10:00:00",44.4
"BELISARIO","1/01/2008 11:00:00",37
"BELISARIO","1/01/2008 12:00:00",29.89
"BELISARIO","1/01/2008 13:00:00",50.15
"BELISARIO","1/01/2008 14:00:00",11.24
"BELISARIO","1/01/2008 15:00:00",23.93
"BELISARIO","1/01/2008 16:00:00",61.17
"BELISARIO","1/01/2008 17:00:00",99.85
"BELISARIO","1/01/2008 18:00:00",109.97
"BELISARIO","1/01/2008 19:00:00",94.24
"BELISARIO","1/01/2008 20:00:00",109.24
"BELISARIO","1/01/2008 21:00:00",129.05
"BELISARIO","1/01/2008 22:00:00",105.98
"BELISARIO","1/01/2008 23:00:00",105.19
"BELISARIO","2/01/2008 00:00:00",95.53
"BELISARIO","2/01/2008 01:00:00",110.02
"BELISARIO","2/01/2008 02:00:00",106.11
"BELISARIO","2/01/2008 03:00:00",138.46
"BELISARIO","2/01/2008 04:00:00",98.88
"BELISARIO","2/01/2008 05:00:00",121.7
"BELISARIO","2/01/2008 06:00:00",119.27
"BELISARIO","2/01/2008 07:00:00",101.53
"BELISARIO","2/01/2008 08:00:00",125.65
"BELISARIO","2/01/2008 09:00:00",102.23
"BELISARIO","2/01/2008 10:00:00",77.54
"BELISARIO","2/01/2008 11:00:00",53.64
"BELISARIO","2/01/2008 12:00:00",NA
"BELISARIO","2/01/2008 13:00:00",77.33
"BELISARIO","2/01/2008 14:00:00",34.09
"BELISARIO","2/01/2008 15:00:00",59.75
"BELISARIO","2/01/2008 16:00:00",57.42
"BELISARIO","2/01/2008 17:00:00",102.66
"BELISARIO","2/01/2008 18:00:00",142.85
"BELISARIO","2/01/2008 19:00:00",101.92
"BELISARIO","2/01/2008 20:00:00",117.36
"BELISARIO","2/01/2008 21:00:00",105
"BELISARIO","2/01/2008 22:00:00",80.49
"BELISARIO","2/01/2008 23:00:00",89.08
"BELISARIO","3/01/2008 00:00:00",108.66
"BELISARIO","3/01/2008 01:00:00",130.55
"BELISARIO","3/01/2008 02:00:00",121.16
"BELISARIO","3/01/2008 03:00:00",96.19
"BELISARIO","3/01/2008 04:00:00",192.03
"BELISARIO","3/01/2008 05:00:00",126.31
"BELISARIO","3/01/2008 06:00:00",100.52
"BELISARIO","3/01/2008 07:00:00",92.08
"BELISARIO","3/01/2008 08:00:00",110.86
"BELISARIO","3/01/2008 09:00:00",101
"BELISARIO","3/01/2008 10:00:00",69.66
"BELISARIO","3/01/2008 11:00:00",35.36
"BELISARIO","3/01/2008 12:00:00",18.37
"BELISARIO","3/01/2008 13:00:00",58.13
"BELISARIO","3/01/2008 14:00:00",25.38
"BELISARIO","3/01/2008 15:00:00",27.48
"BELISARIO","3/01/2008 16:00:00",110.16
"BELISARIO","3/01/2008 17:00:00",198.79
"BELISARIO","3/01/2008 18:00:00",172.13
"BELISARIO","3/01/2008 19:00:00",129.75
"BELISARIO","3/01/2008 20:00:00",119.12
"BELISARIO","3/01/2008 21:00:00",90.34
"BELISARIO","3/01/2008 22:00:00",209.06
"BELISARIO","3/01/2008 23:00:00",182.91
"BELISARIO","4/01/2008 00:00:00",170.56
"BELISARIO","4/01/2008 01:00:00",190.8
"BELISARIO","4/01/2008 02:00:00",8.17
"BELISARIO","4/01/2008 03:00:00",316.09
"BELISARIO","4/01/2008 04:00:00",281.12
"BELISARIO","4/01/2008 05:00:00",325.9
"BELISARIO","4/01/2008 06:00:00",221.33
"BELISARIO","4/01/2008 07:00:00",191.33
"BELISARIO","4/01/2008 08:00:00",198.2
"BELISARIO","4/01/2008 09:00:00",202.72
"BELISARIO","4/01/2008 10:00:00",197.16
"BELISARIO","4/01/2008 11:00:00",125.46
"BELISARIO","4/01/2008 12:00:00",107.84
"BELISARIO","4/01/2008 13:00:00",122.09
"BELISARIO","4/01/2008 14:00:00",96.3
"BELISARIO","4/01/2008 15:00:00",18.69
"BELISARIO","4/01/2008 16:00:00",11.86
"BELISARIO","4/01/2008 17:00:00",357.19
"BELISARIO","4/01/2008 18:00:00",72.99
"BELISARIO","4/01/2008 19:00:00",354
"BELISARIO","4/01/2008 20:00:00",356.15
"BELISARIO","4/01/2008 21:00:00",64.25
"BELISARIO","4/01/2008 22:00:00",88.22
"BELISARIO","4/01/2008 23:00:00",119.08
"BELISARIO","5/01/2008 00:00:00",238.37
"BELISARIO","5/01/2008 01:00:00",53.2
"BELISARIO","5/01/2008 02:00:00",14.1
"BELISARIO","5/01/2008 03:00:00",107.99
"BELISARIO","5/01/2008 04:00:00",83.14
"BELISARIO","5/01/2008 05:00:00",113.87
"BELISARIO","5/01/2008 06:00:00",195.36
"BELISARIO","5/01/2008 07:00:00",169.26
"BELISARIO","5/01/2008 08:00:00",161.77
"BELISARIO","5/01/2008 09:00:00",130.63
"BELISARIO","5/01/2008 10:00:00",122.56
"BELISARIO","5/01/2008 11:00:00",128.6
"BELISARIO","5/01/2008 12:00:00",92.37
"BELISARIO","5/01/2008 13:00:00",58.25
"BELISARIO","5/01/2008 14:00:00",41.04
"BELISARIO","5/01/2008 15:00:00",19.06
"BELISARIO","5/01/2008 16:00:00",30.32
"BELISARIO","5/01/2008 17:00:00",5.55
"BELISARIO","5/01/2008 18:00:00",21.32
"BELISARIO","5/01/2008 19:00:00",18.08
"BELISARIO","5/01/2008 20:00:00",347.28
"BELISARIO","5/01/2008 21:00:00",23.23
"BELISARIO","5/01/2008 22:00:00",42.2
"BELISARIO","5/01/2008 23:00:00",119.44
"BELISARIO","6/01/2008 00:00:00",121.06
"BELISARIO","6/01/2008 01:00:00",131.23
"BELISARIO","6/01/2008 02:00:00",95.49
"BELISARIO","6/01/2008 03:00:00",49.67
"BELISARIO","6/01/2008 04:00:00",47.27
"BELISARIO","6/01/2008 05:00:00",44.52
"BELISARIO","6/01/2008 06:00:00",124.48
"BELISARIO","6/01/2008 07:00:00",89.41
"BELISARIO","6/01/2008 08:00:00",99.48
"BELISARIO","6/01/2008 09:00:00",69.1
"BELISARIO","6/01/2008 10:00:00",121.17
"BELISARIO","6/01/2008 11:00:00",47.72
"BELISARIO","6/01/2008 12:00:00",39.67
"BELISARIO","6/01/2008 13:00:00",9.25
"BELISARIO","6/01/2008 14:00:00",18.28
"BELISARIO","6/01/2008 15:00:00",47.92
"BELISARIO","6/01/2008 16:00:00",39.38
"BELISARIO","6/01/2008 17:00:00",7.88
"BELISARIO","6/01/2008 18:00:00",26.11
"BELISARIO","6/01/2008 19:00:00",14.55
"BELISARIO","6/01/2008 20:00:00",25.43
"BELISARIO","6/01/2008 21:00:00",355.48
"BELISARIO","6/01/2008 22:00:00",4.59
"BELISARIO","6/01/2008 23:00:00",31.83
"BELISARIO","7/01/2008 00:00:00",16.57
"BELISARIO","7/01/2008 01:00:00",20.54
"BELISARIO","7/01/2008 02:00:00",304.56
"BELISARIO","7/01/2008 03:00:00",216.22
"BELISARIO","7/01/2008 04:00:00",119.13
"BELISARIO","7/01/2008 05:00:00",122.95
"BELISARIO","7/01/2008 06:00:00",187.43
"BELISARIO","7/01/2008 07:00:00",130.66
"BELISARIO","7/01/2008 08:00:00",105.88
"BELISARIO","7/01/2008 09:00:00",108.18
"BELISARIO","7/01/2008 10:00:00",132.93
"BELISARIO","7/01/2008 11:00:00",96.7
"BELISARIO","7/01/2008 12:00:00",98.64
"BELISARIO","7/01/2008 13:00:00",117.24
"BELISARIO","7/01/2008 14:00:00",21.99
"BELISARIO","7/01/2008 15:00:00",359.1
"BELISARIO","7/01/2008 16:00:00",16.07
"BELISARIO","7/01/2008 17:00:00",32.18
"BELISARIO","7/01/2008 18:00:00",39.87
"BELISARIO","7/01/2008 19:00:00",47.33
"BELISARIO","7/01/2008 20:00:00",40.05
"BELISARIO","7/01/2008 21:00:00",79.81
"BELISARIO","7/01/2008 22:00:00",106.39
"BELISARIO","7/01/2008 23:00:00",92.23
"BELISARIO","8/01/2008 00:00:00",110.44
"BELISARIO","8/01/2008 01:00:00",99.56
"BELISARIO","8/01/2008 02:00:00",123.51
"BELISARIO","8/01/2008 03:00:00",105.27
"BELISARIO","8/01/2008 04:00:00",209.44
"BELISARIO","8/01/2008 05:00:00",244.34
"BELISARIO","8/01/2008 06:00:00",1.4
"BELISARIO","8/01/2008 07:00:00",65.88
"BELISARIO","8/01/2008 08:00:00",98.36
"BELISARIO","8/01/2008 09:00:00",91.57
