"Station","Date_time","wind_speed.ms"
"BELISARIO","1/01/2008 00:00:00",1.57
"BELISARIO","1/01/2008 01:00:00",1.53
"BELISARIO","1/01/2008 02:00:00",2.22
"BELISARIO","1/01/2008 03:00:00",1.85
"BELISARIO","1/01/2008 04:00:00",1.23
"BELISARIO","1/01/2008 05:00:00",1.96
"BELISARIO","1/01/2008 06:00:00",1.4
"BELISARIO","1/01/2008 07:00:00",1.09
"BELISARIO","1/01/2008 08:00:00",2.6
"BELISARIO","1/01/2008 09:00:00",2.98
"BELISARIO","1/01/2008 10:00:00",3.46
"BELISARIO","1/01/2008 11:00:00",4.18
"BELISARIO","1/01/2008 12:00:00",3.65
"BELISARIO","1/01/2008 13:00:00",4.04
"BELISARIO","1/01/2008 14:00:00",3.97
"BELISARIO","1/01/2008 15:00:00",4.03
"BELISARIO","1/01/2008 16:00:00",4.35
"BELISARIO","1/01/2008 17:00:00",3.04
"BELISARIO","1/01/2008 18:00:00",3.11
"BELISARIO","1/01/2008 19:00:00",2.36
"BELISARIO","1/01/2008 20:00:00",2.04
"BELISARIO","1/01/2008 21:00:00",1.69
"BELISARIO","1/01/2008 22:00:00",2.57
"BELISARIO","1/01/2008 23:00:00",1.71
"BELISARIO","2/01/2008 00:00:00",2.09
"BELISARIO","2/01/2008 01:00:00",1.57
"BELISARIO","2/01/2008 02:00:00",1.28
"BELISARIO","2/01/2008 03:00:00",1.51
"BELISARIO","2/01/2008 04:00:00",1.32
"BELISARIO","2/01/2008 05:00:00",1.29
"BELISARIO","2/01/2008 06:00:00",1.02
"BELISARIO","2/01/2008 07:00:00",2.21
"BELISARIO","2/01/2008 08:00:00",3.26
"BELISARIO","2/01/2008 09:00:00",3.21
"BELISARIO","2/01/2008 10:00:00",3.61
"BELISARIO","2/01/2008 11:00:00",4.3
"BELISARIO","2/01/2008 12:00:00",NA
"BELISARIO","2/01/2008 13:00:00",4.57
"BELISARIO","2/01/2008 14:00:00",4.06
"BELISARIO","2/01/2008 15:00:00",3.31
"BELISARIO","2/01/2008 16:00:00",3.78
"BELISARIO","2/01/2008 17:00:00",4.06
"BELISARIO","2/01/2008 18:00:00",2.99
"BELISARIO","2/01/2008 19:00:00",1.88
"BELISARIO","2/01/2008 20:00:00",1.97
"BELISARIO","2/01/2008 21:00:00",1.96
"BELISARIO","2/01/2008 22:00:00",1.88
"BELISARIO","2/01/2008 23:00:00",1.12
"BELISARIO","3/01/2008 00:00:00",1.81
"BELISARIO","3/01/2008 01:00:00",0.99
"BELISARIO","3/01/2008 02:00:00",1.2
"BELISARIO","3/01/2008 03:00:00",1.53
"BELISARIO","3/01/2008 04:00:00",1.37
"BELISARIO","3/01/2008 05:00:00",1.68
"BELISARIO","3/01/2008 06:00:00",1.13
"BELISARIO","3/01/2008 07:00:00",2.32
"BELISARIO","3/01/2008 08:00:00",2.26
"BELISARIO","3/01/2008 09:00:00",2.34
"BELISARIO","3/01/2008 10:00:00",3.09
"BELISARIO","3/01/2008 11:00:00",3.72
"BELISARIO","3/01/2008 12:00:00",3.94
"BELISARIO","3/01/2008 13:00:00",5.03
"BELISARIO","3/01/2008 14:00:00",4.42
"BELISARIO","3/01/2008 15:00:00",5.05
"BELISARIO","3/01/2008 16:00:00",4.95
"BELISARIO","3/01/2008 17:00:00",3.7
"BELISARIO","3/01/2008 18:00:00",2.34
"BELISARIO","3/01/2008 19:00:00",1.85
"BELISARIO","3/01/2008 20:00:00",1.86
"BELISARIO","3/01/2008 21:00:00",1.7
"BELISARIO","3/01/2008 22:00:00",2.45
"BELISARIO","3/01/2008 23:00:00",1.66
"BELISARIO","4/01/2008 00:00:00",1.2
"BELISARIO","4/01/2008 01:00:00",1.65
"BELISARIO","4/01/2008 02:00:00",1.45
"BELISARIO","4/01/2008 03:00:00",0.9
"BELISARIO","4/01/2008 04:00:00",0.92
"BELISARIO","4/01/2008 05:00:00",0.89
"BELISARIO","4/01/2008 06:00:00",1.34
"BELISARIO","4/01/2008 07:00:00",4.23
"BELISARIO","4/01/2008 08:00:00",6.21
"BELISARIO","4/01/2008 09:00:00",5.54
"BELISARIO","4/01/2008 10:00:00",4.57
"BELISARIO","4/01/2008 11:00:00",4.05
"BELISARIO","4/01/2008 12:00:00",4.3
"BELISARIO","4/01/2008 13:00:00",5.76
"BELISARIO","4/01/2008 14:00:00",5.74
"BELISARIO","4/01/2008 15:00:00",3.47
"BELISARIO","4/01/2008 16:00:00",2.73
"BELISARIO","4/01/2008 17:00:00",1.94
"BELISARIO","4/01/2008 18:00:00",2.62
"BELISARIO","4/01/2008 19:00:00",1.32
"BELISARIO","4/01/2008 20:00:00",0.96
"BELISARIO","4/01/2008 21:00:00",1.06
"BELISARIO","4/01/2008 22:00:00",1.54
"BELISARIO","4/01/2008 23:00:00",2.22
"BELISARIO","5/01/2008 00:00:00",0.91
"BELISARIO","5/01/2008 01:00:00",2.03
"BELISARIO","5/01/2008 02:00:00",1.1
"BELISARIO","5/01/2008 03:00:00",1.43
"BELISARIO","5/01/2008 04:00:00",1.09
"BELISARIO","5/01/2008 05:00:00",1.57
"BELISARIO","5/01/2008 06:00:00",1.86
"BELISARIO","5/01/2008 07:00:00",3
"BELISARIO","5/01/2008 08:00:00",2.38
"BELISARIO","5/01/2008 09:00:00",1.91
"BELISARIO","5/01/2008 10:00:00",2.89
"BELISARIO","5/01/2008 11:00:00",4.09
"BELISARIO","5/01/2008 12:00:00",3.53
"BELISARIO","5/01/2008 13:00:00",4.02
"BELISARIO","5/01/2008 14:00:00",4.17
"BELISARIO","5/01/2008 15:00:00",3.32
"BELISARIO","5/01/2008 16:00:00",3.42
"BELISARIO","5/01/2008 17:00:00",3.3
"BELISARIO","5/01/2008 18:00:00",2.39
"BELISARIO","5/01/2008 19:00:00",2.16
"BELISARIO","5/01/2008 20:00:00",1.94
"BELISARIO","5/01/2008 21:00:00",2.46
"BELISARIO","5/01/2008 22:00:00",2.64
"BELISARIO","5/01/2008 23:00:00",1.54
"BELISARIO","6/01/2008 00:00:00",1.19
"BELISARIO","6/01/2008 01:00:00",1.31
"BELISARIO","6/01/2008 02:00:00",1.51
"BELISARIO","6/01/2008 03:00:00",1.97
"BELISARIO","6/01/2008 04:00:00",2.99
"BELISARIO","6/01/2008 05:00:00",2.3
"BELISARIO","6/01/2008 06:00:00",1.1
"BELISARIO","6/01/2008 07:00:00",1.25
"BELISARIO","6/01/2008 08:00:00",1.48
"BELISARIO","6/01/2008 09:00:00",1.56
"BELISARIO","6/01/2008 10:00:00",3.04
"BELISARIO","6/01/2008 11:00:00",4.16
"BELISARIO","6/01/2008 12:00:00",3.67
"BELISARIO","6/01/2008 13:00:00",3.7
"BELISARIO","6/01/2008 14:00:00",3.09
"BELISARIO","6/01/2008 15:00:00",4.43
"BELISARIO","6/01/2008 16:00:00",3.17
"BELISARIO","6/01/2008 17:00:00",3.51
"BELISARIO","6/01/2008 18:00:00",3.33
"BELISARIO","6/01/2008 19:00:00",2.39
"BELISARIO","6/01/2008 20:00:00",2.87
"BELISARIO","6/01/2008 21:00:00",2.15
"BELISARIO","6/01/2008 22:00:00",2.11
"BELISARIO","6/01/2008 23:00:00",1.71
"BELISARIO","7/01/2008 00:00:00",1.84
"BELISARIO","7/01/2008 01:00:00",0.64
"BELISARIO","7/01/2008 02:00:00",0.43
"BELISARIO","7/01/2008 03:00:00",0.75
"BELISARIO","7/01/2008 04:00:00",0.82
"BELISARIO","7/01/2008 05:00:00",1.21
"BELISARIO","7/01/2008 06:00:00",1.15
"BELISARIO","7/01/2008 07:00:00",2.05
"BELISARIO","7/01/2008 08:00:00",2.32
"BELISARIO","7/01/2008 09:00:00",2.41
"BELISARIO","7/01/2008 10:00:00",2.45
"BELISARIO","7/01/2008 11:00:00",3.94
"BELISARIO","7/01/2008 12:00:00",4.21
"BELISARIO","7/01/2008 13:00:00",3.81
"BELISARIO","7/01/2008 14:00:00",5.12
"BELISARIO","7/01/2008 15:00:00",5.04
"BELISARIO","7/01/2008 16:00:00",4.36
"BELISARIO","7/01/2008 17:00:00",3.67
"BELISARIO","7/01/2008 18:00:00",4.34
"BELISARIO","7/01/2008 19:00:00",3.86
"BELISARIO","7/01/2008 20:00:00",4.44
"BELISARIO","7/01/2008 21:00:00",2.25
"BELISARIO","7/01/2008 22:00:00",2.07
"BELISARIO","7/01/2008 23:00:00",1.58
"BELISARIO","8/01/2008 00:00:00",2.08
"BELISARIO","8/01/2008 01:00:00",1.48
"BELISARIO","8/01/2008 02:00:00",1.75
"BELISARIO","8/01/2008 03:00:00",2.14
"BELISARIO","8/01/2008 04:00:00",0.9
"BELISARIO","8/01/2008 05:00:00",0.94
"BELISARIO","8/01/2008 06:00:00",1.25
"BELISARIO","8/01/2008 07:00:00",1.72
"BELISARIO","8/01/2008 08:00:00",1.85
"BELISARIO","8/01/2008 09:00:00",2.26
"BELISARIO","8/01/2008 10:00:00",3.02
"BELISARIO","8/01/2008 11:00:00",4.73
"BELISARIO","8/01/2008 12:00:00",4.27
"BELISARIO","8/01/2008 13:00:00",3.59
"BELISARIO","8/01/2008 14:00:00",4.79
