"Station","Date_time","pm25ugm3"
"BELISARIO","1/01/2008 00:00:00",48.68
"BELISARIO","1/01/2008 01:00:00",97.01
"BELISARIO","1/01/2008 02:00:00",93.51
"BELISARIO","1/01/2008 03:00:00",61.88
"BELISARIO","1/01/2008 04:00:00",41.2
"BELISARIO","1/01/2008 05:00:00",37.75
"BELISARIO","1/01/2008 06:00:00",27.9
"BELISARIO","1/01/2008 07:00:00",23.04
"BELISARIO","1/01/2008 08:00:00",23.55
"BELISARIO","1/01/2008 09:00:00",15.89
"BELISARIO","1/01/2008 10:00:00",32.26
"BELISARIO","1/01/2008 11:00:00",17.07
"BELISARIO","1/01/2008 12:00:00",11.25
"BELISARIO","1/01/2008 13:00:00",10.87
"BELISARIO","1/01/2008 14:00:00",3.55
"BELISARIO","1/01/2008 15:00:00",5.73
"BELISARIO","1/01/2008 16:00:00",16.2
"BELISARIO","1/01/2008 17:00:00",14.8
"BELISARIO","1/01/2008 18:00:00",13.12
"BELISARIO","1/01/2008 19:00:00",10.82
"BELISARIO","1/01/2008 20:00:00",8.87
"BELISARIO","1/01/2008 21:00:00",7.52
"BELISARIO","1/01/2008 22:00:00",2.18
"BELISARIO","1/01/2008 23:00:00",3.52
"BELISARIO","2/01/2008 00:00:00",3.99
"BELISARIO","2/01/2008 01:00:00",5.64
"BELISARIO","2/01/2008 02:00:00",6.59
"BELISARIO","2/01/2008 03:00:00",3.33
"BELISARIO","2/01/2008 04:00:00",3.77
"BELISARIO","2/01/2008 05:00:00",7.1
"BELISARIO","2/01/2008 06:00:00",14.62
"BELISARIO","2/01/2008 07:00:00",34.07
"BELISARIO","2/01/2008 08:00:00",35.27
"BELISARIO","2/01/2008 09:00:00",35.38
"BELISARIO","2/01/2008 10:00:00",23.05
"BELISARIO","2/01/2008 11:00:00",31.55
"BELISARIO","2/01/2008 12:00:00",NA
"BELISARIO","2/01/2008 13:00:00",19.88
"BELISARIO","2/01/2008 14:00:00",21.51
"BELISARIO","2/01/2008 15:00:00",36.63
"BELISARIO","2/01/2008 16:00:00",22.53
"BELISARIO","2/01/2008 17:00:00",17.76
"BELISARIO","2/01/2008 18:00:00",12.04
"BELISARIO","2/01/2008 19:00:00",22.84
"BELISARIO","2/01/2008 20:00:00",17.95
"BELISARIO","2/01/2008 21:00:00",16.29
"BELISARIO","2/01/2008 22:00:00",14.33
"BELISARIO","2/01/2008 23:00:00",8.56
"BELISARIO","3/01/2008 00:00:00",NA
"BELISARIO","3/01/2008 01:00:00",17.07
"BELISARIO","3/01/2008 02:00:00",12.57
"BELISARIO","3/01/2008 03:00:00",11.3
"BELISARIO","3/01/2008 04:00:00",11.71
"BELISARIO","3/01/2008 05:00:00",11.74
"BELISARIO","3/01/2008 06:00:00",23.51
"BELISARIO","3/01/2008 07:00:00",39.5
"BELISARIO","3/01/2008 08:00:00",23.92
"BELISARIO","3/01/2008 09:00:00",27.47
"BELISARIO","3/01/2008 10:00:00",29.67
"BELISARIO","3/01/2008 11:00:00",29.2
"BELISARIO","3/01/2008 12:00:00",27.22
"BELISARIO","3/01/2008 13:00:00",15.36
"BELISARIO","3/01/2008 14:00:00",19.95
"BELISARIO","3/01/2008 15:00:00",15.16
"BELISARIO","3/01/2008 16:00:00",21.02
"BELISARIO","3/01/2008 17:00:00",26.63
"BELISARIO","3/01/2008 18:00:00",14.16
"BELISARIO","3/01/2008 19:00:00",28.84
"BELISARIO","3/01/2008 20:00:00",17.42
"BELISARIO","3/01/2008 21:00:00",20.61
"BELISARIO","3/01/2008 22:00:00",16.74
"BELISARIO","3/01/2008 23:00:00",16.87
"BELISARIO","4/01/2008 00:00:00",NA
"BELISARIO","4/01/2008 01:00:00",20.25
"BELISARIO","4/01/2008 02:00:00",9.82
"BELISARIO","4/01/2008 03:00:00",16.23
"BELISARIO","4/01/2008 04:00:00",15.29
"BELISARIO","4/01/2008 05:00:00",16.5
"BELISARIO","4/01/2008 06:00:00",22.92
"BELISARIO","4/01/2008 07:00:00",39.03
"BELISARIO","4/01/2008 08:00:00",19.55
"BELISARIO","4/01/2008 09:00:00",12.53
"BELISARIO","4/01/2008 10:00:00",10.33
"BELISARIO","4/01/2008 11:00:00",8.13
"BELISARIO","4/01/2008 12:00:00",8.99
"BELISARIO","4/01/2008 13:00:00",8.37
"BELISARIO","4/01/2008 14:00:00",12.99
"BELISARIO","4/01/2008 15:00:00",16.98
"BELISARIO","4/01/2008 16:00:00",21.96
"BELISARIO","4/01/2008 17:00:00",19.53
"BELISARIO","4/01/2008 18:00:00",24.19
"BELISARIO","4/01/2008 19:00:00",36.18
"BELISARIO","4/01/2008 20:00:00",30.38
"BELISARIO","4/01/2008 21:00:00",23.94
"BELISARIO","4/01/2008 22:00:00",25.08
"BELISARIO","4/01/2008 23:00:00",21.97
"BELISARIO","5/01/2008 00:00:00",NA
"BELISARIO","5/01/2008 01:00:00",21.23
"BELISARIO","5/01/2008 02:00:00",23.9
"BELISARIO","5/01/2008 03:00:00",18.12
"BELISARIO","5/01/2008 04:00:00",18.43
"BELISARIO","5/01/2008 05:00:00",14.18
"BELISARIO","5/01/2008 06:00:00",19.35
"BELISARIO","5/01/2008 07:00:00",20.4
"BELISARIO","5/01/2008 08:00:00",44.91
"BELISARIO","5/01/2008 09:00:00",26.97
"BELISARIO","5/01/2008 10:00:00",27.05
"BELISARIO","5/01/2008 11:00:00",11.33
"BELISARIO","5/01/2008 12:00:00",21.79
"BELISARIO","5/01/2008 13:00:00",8.14
"BELISARIO","5/01/2008 14:00:00",18.89
"BELISARIO","5/01/2008 15:00:00",11.3
"BELISARIO","5/01/2008 16:00:00",13.88
"BELISARIO","5/01/2008 17:00:00",14.25
"BELISARIO","5/01/2008 18:00:00",16.21
"BELISARIO","5/01/2008 19:00:00",10.58
"BELISARIO","5/01/2008 20:00:00",17.06
"BELISARIO","5/01/2008 21:00:00",5.53
"BELISARIO","5/01/2008 22:00:00",11.31
"BELISARIO","5/01/2008 23:00:00",10.31
"BELISARIO","6/01/2008 00:00:00",NA
"BELISARIO","6/01/2008 01:00:00",17.68
"BELISARIO","6/01/2008 02:00:00",10.54
"BELISARIO","6/01/2008 03:00:00",2.47
"BELISARIO","6/01/2008 04:00:00",10.17
"BELISARIO","6/01/2008 05:00:00",8.46
"BELISARIO","6/01/2008 06:00:00",5.89
"BELISARIO","6/01/2008 07:00:00",10.18
"BELISARIO","6/01/2008 08:00:00",9.65
"BELISARIO","6/01/2008 09:00:00",15.71
"BELISARIO","6/01/2008 10:00:00",6.52
"BELISARIO","6/01/2008 11:00:00",17.06
"BELISARIO","6/01/2008 12:00:00",5.81
"BELISARIO","6/01/2008 13:00:00",9.09
"BELISARIO","6/01/2008 14:00:00",5.62
"BELISARIO","6/01/2008 15:00:00",11.43
"BELISARIO","6/01/2008 16:00:00",6.52
"BELISARIO","6/01/2008 17:00:00",8.7
"BELISARIO","6/01/2008 18:00:00",14.13
"BELISARIO","6/01/2008 19:00:00",13.41
"BELISARIO","6/01/2008 20:00:00",12.96
"BELISARIO","6/01/2008 21:00:00",6.91
"BELISARIO","6/01/2008 22:00:00",3.92
"BELISARIO","6/01/2008 23:00:00",2.14
"BELISARIO","7/01/2008 00:00:00",NA
"BELISARIO","7/01/2008 01:00:00",11.61
"BELISARIO","7/01/2008 02:00:00",10.56
"BELISARIO","7/01/2008 03:00:00",8.32
"BELISARIO","7/01/2008 04:00:00",11.85
"BELISARIO","7/01/2008 05:00:00",13.62
"BELISARIO","7/01/2008 06:00:00",17.34
"BELISARIO","7/01/2008 07:00:00",30.11
"BELISARIO","7/01/2008 08:00:00",55.2
"BELISARIO","7/01/2008 09:00:00",48.4
"BELISARIO","7/01/2008 10:00:00",44.32
"BELISARIO","7/01/2008 11:00:00",10.62
"BELISARIO","7/01/2008 12:00:00",9.69
"BELISARIO","7/01/2008 13:00:00",6.61
"BELISARIO","7/01/2008 14:00:00",8.56
"BELISARIO","7/01/2008 15:00:00",16.15
"BELISARIO","7/01/2008 16:00:00",15.14
"BELISARIO","7/01/2008 17:00:00",13.92
"BELISARIO","7/01/2008 18:00:00",20.42
"BELISARIO","7/01/2008 19:00:00",22.75
"BELISARIO","7/01/2008 20:00:00",18.63
"BELISARIO","7/01/2008 21:00:00",19.1
"BELISARIO","7/01/2008 22:00:00",11.21
"BELISARIO","7/01/2008 23:00:00",1.76
"BELISARIO","8/01/2008 00:00:00",NA
"BELISARIO","8/01/2008 01:00:00",5.97
"BELISARIO","8/01/2008 02:00:00",10.18
"BELISARIO","8/01/2008 03:00:00",4.72
"BELISARIO","8/01/2008 04:00:00",12.68
"BELISARIO","8/01/2008 05:00:00",8.22
"BELISARIO","8/01/2008 06:00:00",11.49
"BELISARIO","8/01/2008 07:00:00",42.75
"BELISARIO","8/01/2008 08:00:00",43.58
"BELISARIO","8/01/2008 09:00:00",27.96
"BELISARIO","8/01/2008 10:00:00",NA
"BELISARIO","8/01/2008 11:00:00",NA
"BELISARIO","8/01/2008 12:00:00",27.88
"BELISARIO","8/01/2008 13:00:00",13.46
"BELISARIO","8/01/2008 14:00:00",9.76
"BELISARIO","8/01/2008 15:00:00",14.05
"BELISARIO","8/01/2008 16:00:00",15.47
"BELISARIO","8/01/2008 17:00:00",28.74
"BELISARIO","8/01/2008 18:00:00",22.08
"BELISARIO","8/01/2008 19:00:00",17.85
"BELISARIO","8/01/2008 20:00:00",16.76
"BELISARIO","8/01/2008 21:00:00",16.36
"BELISARIO","8/01/2008 22:00:00",5.02
"BELISARIO","8/01/2008 23:00:00",2.86
"BELISARIO","9/01/2008 00:00:00",NA
"BELISARIO","9/01/2008 01:00:00",NA
"BELISARIO","9/01/2008 02:00:00",NA
"BELISARIO","9/01/2008 03:00:00",NA
"BELISARIO","9/01/2008 04:00:00",NA
"BELISARIO","9/01/2008 05:00:00",NA
"BELISARIO","9/01/2008 06:00:00",NA
"BELISARIO","9/01/2008 07:00:00",NA
"BELISARIO","9/01/2008 08:00:00",NA
"BELISARIO","9/01/2008 09:00:00",NA
"BELISARIO","9/01/2008 10:00:00",NA
"BELISARIO","9/01/2008 11:00:00",17.35
"BELISARIO","9/01/2008 12:00:00",19.41
"BELISARIO","9/01/2008 13:00:00",22.11
"BELISARIO","9/01/2008 14:00:00",20.37
"BELISARIO","9/01/2008 15:00:00",23.58
"BELISARIO","9/01/2008 16:00:00",25.17
"BELISARIO","9/01/2008 17:00:00",38.08
"BELISARIO","9/01/2008 18:00:00",39.23
"BELISARIO","9/01/2008 19:00:00",23.62
"BELISARIO","9/01/2008 20:00:00",17.69
"BELISARIO","9/01/2008 21:00:00",16.23
"BELISARIO","9/01/2008 22:00:00",17.81
"BELISARIO","9/01/2008 23:00:00",2.05
"BELISARIO","10/01/2008 00:00:00",NA
"BELISARIO","10/01/2008 01:00:00",9.5
"BELISARIO","10/01/2008 02:00:00",7.1
"BELISARIO","10/01/2008 03:00:00",7.67
"BELISARIO","10/01/2008 04:00:00",9.8
"BELISARIO","10/01/2008 05:00:00",13.25
"BELISARIO","10/01/2008 06:00:00",9.07
"BELISARIO","10/01/2008 07:00:00",17.57
"BELISARIO","10/01/2008 08:00:00",35.07
"BELISARIO","10/01/2008 09:00:00",39.88
"BELISARIO","10/01/2008 10:00:00",41.6
"BELISARIO","10/01/2008 11:00:00",34.7
"BELISARIO","10/01/2008 12:00:00",48.2
"BELISARIO","10/01/2008 13:00:00",33.86
"BELISARIO","10/01/2008 14:00:00",21.27
"BELISARIO","10/01/2008 15:00:00",24.16
"BELISARIO","10/01/2008 16:00:00",24.07
"BELISARIO","10/01/2008 17:00:00",17.33
"BELISARIO","10/01/2008 18:00:00",17.77
"BELISARIO","10/01/2008 19:00:00",16.3
"BELISARIO","10/01/2008 20:00:00",14.83
"BELISARIO","10/01/2008 21:00:00",13.54
"BELISARIO","10/01/2008 22:00:00",8.8
"BELISARIO","10/01/2008 23:00:00",8.13
"BELISARIO","11/01/2008 00:00:00",NA
"BELISARIO","11/01/2008 01:00:00",11.14
"BELISARIO","11/01/2008 02:00:00",12.21
"BELISARIO","11/01/2008 03:00:00",13.29
"BELISARIO","11/01/2008 04:00:00",20.62
"BELISARIO","11/01/2008 05:00:00",11.54
"BELISARIO","11/01/2008 06:00:00",8.72
"BELISARIO","11/01/2008 07:00:00",21.19
"BELISARIO","11/01/2008 08:00:00",39.86
"BELISARIO","11/01/2008 09:00:00",29.08
"BELISARIO","11/01/2008 10:00:00",18.51
"BELISARIO","11/01/2008 11:00:00",14.88
"BELISARIO","11/01/2008 12:00:00",25.53
"BELISARIO","11/01/2008 13:00:00",13.08
"BELISARIO","11/01/2008 14:00:00",22.47
"BELISARIO","11/01/2008 15:00:00",25.36
"BELISARIO","11/01/2008 16:00:00",25.82
"BELISARIO","11/01/2008 17:00:00",26.67
"BELISARIO","11/01/2008 18:00:00",21.58
"BELISARIO","11/01/2008 19:00:00",21.67
"BELISARIO","11/01/2008 20:00:00",23.47
"BELISARIO","11/01/2008 21:00:00",16.9
"BELISARIO","11/01/2008 22:00:00",10.69
"BELISARIO","11/01/2008 23:00:00",8.65
"BELISARIO","12/01/2008 00:00:00",NA
"BELISARIO","12/01/2008 01:00:00",14.56
"BELISARIO","12/01/2008 02:00:00",13.22
"BELISARIO","12/01/2008 03:00:00",13.23
"BELISARIO","12/01/2008 04:00:00",11.56
"BELISARIO","12/01/2008 05:00:00",15.84
"BELISARIO","12/01/2008 06:00:00",18.55
"BELISARIO","12/01/2008 07:00:00",27.46
"BELISARIO","12/01/2008 08:00:00",33.3
"BELISARIO","12/01/2008 09:00:00",42.71
"BELISARIO","12/01/2008 10:00:00",32.14
"BELISARIO","12/01/2008 11:00:00",37.07
"BELISARIO","12/01/2008 12:00:00",34.34
