Station,Date_time,precipitation.mm,wind_direction.deg,wind_speed.ms,pm25ugm3
BELISARIO,1/01/2008 00:00:00,0.0,87.96,1.57,48.68
BELISARIO,1/01/2008 01:00:00,0.0,72.26,1.53,97.01
BELISARIO,1/01/2008 02:00:00,0.0,86.11,2.22,93.51
BELISARIO,1/01/2008 03:00:00,0.0,76.69,1.85,61.88
BELISARIO,1/01/2008 04:00:00,0.0,107.54,1.23,41.2
BELISARIO,1/01/2008 05:00:00,0.0,103.3,1.96,37.75
BELISARIO,1/01/2008 06:00:00,0.0,106.73,1.4,27.9
BELISARIO,1/01/2008 07:00:00,0.0,181.36,1.09,23.04
BELISARIO,1/01/2008 08:00:00,0.0,99.47,2.6,23.55
BELISARIO,1/01/2008 09:00:00,0.0,83.19,2.98,15.89
BELISARIO,1/01/2008 10:00:00,0.0,44.4,3.46,32.26
BELISARIO,1/01/2008 11:00:00,0.0,37.0,4.18,17.07
BELISARIO,1/01/2008 12:00:00,0.0,29.89,3.65,11.25
BELISARIO,1/01/2008 13:00:00,0.0,50.15,4.04,10.87
BELISARIO,1/01/2008 14:00:00,0.0,11.24,3.97,3.55
BELISARIO,1/01/2008 15:00:00,0.0,23.93,4.03,5.73
BELISARIO,1/01/2008 16:00:00,0.0,61.17,4.35,16.2
BELISARIO,1/01/2008 17:00:00,0.0,99.85,3.04,14.8
BELISARIO,1/01/2008 18:00:00,0.8,109.97,3.11,13.12
BELISARIO,1/01/2008 19:00:00,0.1,94.24,2.36,10.82
BELISARIO,1/01/2008 20:00:00,0.0,109.24,2.04,8.87
BELISARIO,1/01/2008 21:00:00,0.2,129.05,1.69,7.52
BELISARIO,1/01/2008 22:00:00,0.5,105.98,2.57,2.18
BELISARIO,1/01/2008 23:00:00,0.8,105.19,1.71,3.52
BELISARIO,2/01/2008 00:00:00,0.0,95.53,2.09,3.99
BELISARIO,2/01/2008 01:00:00,0.0,110.02,1.57,5.64
BELISARIO,2/01/2008 02:00:00,0.0,106.11,1.28,6.59
BELISARIO,2/01/2008 03:00:00,0.0,138.46,1.51,3.33
BELISARIO,2/01/2008 04:00:00,0.0,98.88,1.32,3.77
BELISARIO,2/01/2008 05:00:00,0.0,121.7,1.29,7.1
BELISARIO,2/01/2008 06:00:00,0.0,119.27,1.02,14.62
BELISARIO,2/01/2008 07:00:00,0.0,101.53,2.21,34.07
BELISARIO,2/01/2008 08:00:00,0.0,125.65,3.26,35.27
BELISARIO,2/01/2008 09:00:00,0.0,102.23,3.21,35.38
BELISARIO,2/01/2008 10:00:00,0.0,77.54,3.61,23.05
BELISARIO,2/01/2008 11:00:00,0.0,53.64,4.3,31.55
BELISARIO,2/01/2008 13:00:00,0.0,77.33,4.57,19.88
BELISARIO,2/01/2008 14:00:00,0.0,34.09,4.06,21.51
BELISARIO,2/01/2008 15:00:00,0.0,59.75,3.31,36.63
BELISARIO,2/01/2008 16:00:00,0.0,57.42,3.78,22.53
BELISARIO,2/01/2008 17:00:00,0.0,102.66,4.06,17.76
BELISARIO,2/01/2008 18:00:00,0.0,142.85,2.99,12.04
BELISARIO,2/01/2008 19:00:00,0.0,101.92,1.88,22.84
BELISARIO,2/01/2008 20:00:00,0.0,117.36,1.97,17.95
BELISARIO,2/01/2008 21:00:00,0.0,105.0,1.96,16.29
BELISARIO,2/01/2008 22:00:00,0.0,80.49,1.88,14.33
BELISARIO,2/01/2008 23:00:00,0.1,89.08,1.12,8.56
BELISARIO,3/01/2008 01:00:00,0.0,130.55,0.99,17.07
BELISARIO,3/01/2008 02:00:00,0.0,121.16,1.2,12.57
BELISARIO,3/01/2008 03:00:00,0.0,96.19,1.53,11.3
BELISARIO,3/01/2008 04:00:00,0.0,192.03,1.37,11.71
BELISARIO,3/01/2008 05:00:00,0.0,126.31,1.68,11.74
BELISARIO,3/01/2008 06:00:00,0.0,100.52,1.13,23.51
BELISARIO,3/01/2008 07:00:00,0.0,92.08,2.32,39.5
BELISARIO,3/01/2008 08:00:00,0.0,110.86,2.26,23.92
BELISARIO,3/01/2008 09:00:00,0.0,101.0,2.34,27.47
BELISARIO,3/01/2008 10:00:00,0.0,69.66,3.09,29.67
BELISARIO,3/01/2008 11:00:00,0.0,35.36,3.72,29.2
BELISARIO,3/01/2008 12:00:00,0.0,18.37,3.94,27.22
BELISARIO,3/01/2008 13:00:00,0.0,58.13,5.03,15.36
BELISARIO,3/01/2008 14:00:00,0.0,25.38,4.42,19.95
BELISARIO,3/01/2008 15:00:00,0.0,27.48,5.05,15.16
BELISARIO,3/01/2008 16:00:00,1.5,110.16,4.95,21.02
BELISARIO,3/01/2008 17:00:00,0.8,198.79,3.7,26.63
BELISARIO,3/01/2008 18:00:00,0.0,172.13,2.34,14.16
BELISARIO,3/01/2008 19:00:00,0.0,129.75,1.85,28.84
BELISARIO,3/01/2008 20:00:00,0.1,119.12,1.86,17.42
BELISARIO,3/01/2008 21:00:00,0.0,90.34,1.7,20.61
BELISARIO,3/01/2008 22:00:00,0.0,209.06,2.45,16.74
BELISARIO,3/01/2008 23:00:00,0.0,182.91,1.66,16.87
BELISARIO,4/01/2008 01:00:00,0.0,190.8,1.65,20.25
BELISARIO,4/01/2008 02:00:00,0.0,8.17,1.45,9.82
BELISARIO,4/01/2008 03:00:00,0.0,316.09,0.9,16.23
BELISARIO,4/01/2008 04:00:00,0.0,281.12,0.92,15.29
BELISARIO,4/01/2008 05:00:00,0.0,325.9,0.89,16.5
BELISARIO,4/01/2008 06:00:00,0.0,221.33,1.34,22.92
BELISARIO,4/01/2008 07:00:00,0.0,191.33,4.23,39.03
BELISARIO,4/01/2008 08:00:00,0.0,198.2,6.21,19.55
BELISARIO,4/01/2008 09:00:00,0.0,202.72,5.54,12.53
BELISARIO,4/01/2008 10:00:00,0.0,197.16,4.57,10.33
BELISARIO,4/01/2008 11:00:00,0.0,125.46,4.05,8.13
BELISARIO,4/01/2008 12:00:00,0.0,107.84,4.3,8.99
BELISARIO,4/01/2008 13:00:00,0.0,122.09,5.76,8.37
BELISARIO,4/01/2008 14:00:00,0.0,96.3,5.74,12.99
BELISARIO,4/01/2008 15:00:00,0.0,18.69,3.47,16.98
BELISARIO,4/01/2008 16:00:00,0.0,11.86,2.73,21.96
BELISARIO,4/01/2008 17:00:00,0.0,357.19,1.94,19.53
BELISARIO,4/01/2008 18:00:00,0.0,72.99,2.62,24.19
BELISARIO,4/01/2008 19:00:00,0.0,354.0,1.32,36.18
BELISARIO,4/01/2008 20:00:00,0.0,356.15,0.96,30.38
BELISARIO,4/01/2008 21:00:00,0.0,64.25,1.06,23.94
BELISARIO,4/01/2008 22:00:00,0.0,88.22,1.54,25.08
BELISARIO,4/01/2008 23:00:00,0.0,119.08,2.22,21.97
BELISARIO,5/01/2008 01:00:00,0.0,53.2,2.03,21.23
BELISARIO,5/01/2008 02:00:00,0.0,14.1,1.1,23.9
BELISARIO,5/01/2008 03:00:00,0.0,107.99,1.43,18.12
BELISARIO,5/01/2008 04:00:00,0.0,83.14,1.09,18.43
BELISARIO,5/01/2008 05:00:00,0.0,113.87,1.57,14.18
BELISARIO,5/01/2008 06:00:00,0.0,195.36,1.86,19.35
BELISARIO,5/01/2008 07:00:00,0.0,169.26,3.0,20.4
BELISARIO,5/01/2008 08:00:00,0.0,161.77,2.38,44.91
BELISARIO,5/01/2008 09:00:00,0.0,130.63,1.91,26.97
BELISARIO,5/01/2008 10:00:00,0.0,122.56,2.89,27.05
BELISARIO,5/01/2008 11:00:00,0.0,128.6,4.09,11.33
BELISARIO,5/01/2008 12:00:00,0.0,92.37,3.53,21.79
BELISARIO,5/01/2008 13:00:00,0.0,58.25,4.02,8.14
BELISARIO,5/01/2008 14:00:00,0.0,41.04,4.17,18.89
BELISARIO,5/01/2008 15:00:00,0.0,19.06,3.32,11.3
BELISARIO,5/01/2008 16:00:00,0.0,30.32,3.42,13.88
BELISARIO,5/01/2008 17:00:00,0.0,5.55,3.3,14.25
BELISARIO,5/01/2008 18:00:00,0.0,21.32,2.39,16.21
BELISARIO,5/01/2008 19:00:00,0.0,18.08,2.16,10.58
BELISARIO,5/01/2008 20:00:00,0.0,347.28,1.94,17.06
BELISARIO,5/01/2008 21:00:00,0.0,23.23,2.46,5.53
BELISARIO,5/01/2008 22:00:00,0.0,42.2,2.64,11.31
BELISARIO,5/01/2008 23:00:00,0.0,119.44,1.54,10.31
BELISARIO,6/01/2008 01:00:00,0.0,131.23,1.31,17.68
BELISARIO,6/01/2008 02:00:00,0.0,95.49,1.51,10.54
BELISARIO,6/01/2008 03:00:00,0.0,49.67,1.97,2.47
BELISARIO,6/01/2008 04:00:00,0.0,47.27,2.99,10.17
BELISARIO,6/01/2008 05:00:00,0.0,44.52,2.3,8.46
BELISARIO,6/01/2008 06:00:00,0.0,124.48,1.1,5.89
BELISARIO,6/01/2008 07:00:00,0.0,89.41,1.25,10.18
BELISARIO,6/01/2008 08:00:00,0.0,99.48,1.48,9.65
BELISARIO,6/01/2008 09:00:00,0.0,69.1,1.56,15.71
BELISARIO,6/01/2008 10:00:00,0.0,121.17,3.04,6.52
BELISARIO,6/01/2008 11:00:00,0.0,47.72,4.16,17.06
BELISARIO,6/01/2008 12:00:00,0.0,39.67,3.67,5.81
BELISARIO,6/01/2008 13:00:00,0.0,9.25,3.7,9.09
BELISARIO,6/01/2008 14:00:00,0.0,18.28,3.09,5.62
BELISARIO,6/01/2008 15:00:00,0.0,47.92,4.43,11.43
BELISARIO,6/01/2008 16:00:00,0.0,39.38,3.17,6.52
BELISARIO,6/01/2008 17:00:00,0.0,7.88,3.51,8.7
BELISARIO,6/01/2008 18:00:00,0.0,26.11,3.33,14.13
BELISARIO,6/01/2008 19:00:00,0.0,14.55,2.39,13.41
BELISARIO,6/01/2008 20:00:00,0.0,25.43,2.87,12.96
BELISARIO,6/01/2008 21:00:00,0.0,355.48,2.15,6.91
BELISARIO,6/01/2008 22:00:00,0.0,4.59,2.11,3.92
BELISARIO,6/01/2008 23:00:00,0.0,31.83,1.71,2.14
BELISARIO,7/01/2008 01:00:00,0.0,20.54,0.64,11.61
BELISARIO,7/01/2008 02:00:00,0.0,304.56,0.43,10.56
BELISARIO,7/01/2008 03:00:00,0.0,216.22,0.75,8.32
BELISARIO,7/01/2008 04:00:00,0.0,119.13,0.82,11.85
BELISARIO,7/01/2008 05:00:00,0.0,122.95,1.21,13.62
BELISARIO,7/01/2008 06:00:00,0.0,187.43,1.15,17.34
BELISARIO,7/01/2008 07:00:00,0.0,130.66,2.05,30.11
BELISARIO,7/01/2008 08:00:00,0.0,105.88,2.32,55.2
BELISARIO,7/01/2008 09:00:00,0.0,108.18,2.41,48.4
BELISARIO,7/01/2008 10:00:00,0.0,132.93,2.45,44.32
BELISARIO,7/01/2008 11:00:00,0.0,96.7,3.94,10.62
