epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.10194,1.43727,2.79946,2.03715,0.00333,1,0.995,0.54725,0.38765,2.88035,1.04456,0,0,0
2,13.9991,1.36877,2.92631,1.99991,0.00333,1,0.995,0.54725,0.46563,2.87727,1.12729,1.9604e-05,1.9604e-05,1.9604e-05
3,23.1298,1.32709,2.77674,2.11488,0.00333,1,0.995,0.54725,0.52419,2.91289,1.21699,3.8416e-05,3.8416e-05,3.8416e-05
4,29.2039,1.22554,2.58128,1.7197,0.00333,1,0.995,0.4975,0.58792,3.01661,1.33384,5.6436e-05,5.6436e-05,5.6436e-05
5,35.5316,0.8388,2.58392,1.5095,0.00333,1,0.995,0.796,0.57905,3.09915,1.38294,7.3664e-05,7.3664e-05,7.3664e-05
6,45.6921,1.22267,2.54444,1.76775,0.00333,1,0.995,0.796,0.61069,3.18656,1.44345,9.01e-05,9.01e-05,9.01e-05
7,53.5255,1.08027,2.54501,1.67605,0.00333,1,0.995,0.6965,0.69169,3.21758,1.58206,0.000105744,0.000105744,0.000105744
8,64.865,0.91441,2.46856,1.45847,0.00333,1,0.995,0.6965,0.80885,3.10235,1.69987,0.000120596,0.000120596,0.000120596
9,73.1407,0.80714,2.44665,1.41755,0.00333,1,0.995,0.6965,0.92311,3.05656,1.64222,0.000134656,0.000134656,0.000134656
10,93.4534,1.05784,2.42653,1.59358,0.00333,1,0.995,0.597,0.91953,3.02338,1.78272,0.000147924,0.000147924,0.000147924
11,104.579,1.06132,2.47281,1.5626,0.00333,1,0.995,0.597,0.96007,3.1132,1.57753,0.0001604,0.0001604,0.0001604
12,119.273,0.89216,2.29813,1.49654,0.00333,1,0.995,0.597,0.95829,3.13476,1.63971,0.000172084,0.000172084,0.000172084
13,128.02,0.83723,2.23847,1.40518,0.00333,1,0.995,0.597,0.80607,3.00314,1.43411,0.000182976,0.000182976,0.000182976
14,140.371,0.90371,2.17316,1.42459,0.00333,1,0.995,0.796,0.45754,2.91852,1.11347,0.000193076,0.000193076,0.000193076
15,148.247,0.82911,2.11715,1.42576,0.00333,1,0.995,0.8955,0.41692,2.82066,1.01501,0.000202384,0.000202384,0.000202384
16,158.953,0.77389,2.09397,1.29047,0.00333,1,0.995,0.8955,0.33742,2.75313,0.96206,0.0002109,0.0002109,0.0002109
17,166.05,0.72433,2.09951,1.28599,0.00333,1,0.995,0.8955,0.29802,2.7276,0.93229,0.000218624,0.000218624,0.000218624
18,174.564,0.86499,2.04143,1.5189,0.00333,1,0.995,0.8955,0.29802,2.7276,0.93229,0.000225556,0.000225556,0.000225556
19,181.319,0.69815,1.95577,1.26612,0.00333,1,0.995,0.8955,0.26667,2.73367,0.9553,0.000231696,0.000231696,0.000231696
20,191.365,0.80751,1.84626,1.19584,0.00333,1,0.995,0.8955,0.26667,2.73367,0.9553,0.000237044,0.000237044,0.000237044
21,197.929,0.77969,1.93846,1.31669,0.00333,1,0.995,0.8955,0.33113,2.72393,1.00207,0.0002416,0.0002416,0.0002416
22,204.295,0.76733,1.95563,1.44703,0.00333,1,0.995,0.8955,0.33113,2.72393,1.00207,0.000245364,0.000245364,0.000245364
23,216.563,0.73534,1.76994,1.2372,0.00333,1,0.995,0.8955,0.48111,2.72508,1.1408,0.000248336,0.000248336,0.000248336
24,224.561,0.93448,1.876,1.39029,0.00333,1,0.995,0.8955,0.48111,2.72508,1.1408,0.000250516,0.000250516,0.000250516
25,238.705,0.80415,1.75223,1.26157,0.00333,1,0.995,0.8955,0.65977,2.79643,1.3079,0.000251904,0.000251904,0.000251904
26,249.347,0.90213,1.73868,1.31814,0.00333,1,0.995,0.8955,0.65977,2.79643,1.3079,0.0002525,0.0002525,0.0002525
27,257.871,0.77565,1.82154,1.37644,0.00333,1,0.995,0.796,0.84346,2.91805,1.4908,0.000252304,0.000252304,0.000252304
28,267.78,0.74686,1.71668,1.30029,0.00333,1,0.995,0.796,0.84346,2.91805,1.4908,0.000251316,0.000251316,0.000251316
29,285.861,0.70993,1.63523,1.25145,0.00333,1,0.995,0.796,1.02071,2.96404,1.72508,0.000249536,0.000249536,0.000249536
30,296.517,0.65745,1.53366,1.16616,0.00333,1,0.995,0.796,1.02071,2.96404,1.72508,0.000246964,0.000246964,0.000246964
31,305.592,0.78773,1.62436,1.32916,0.00333,1,0.995,0.796,0.92759,2.87417,1.55034,0.0002436,0.0002436,0.0002436
32,316.758,0.71521,1.49371,1.16853,0.00333,1,0.995,0.796,0.92759,2.87417,1.55034,0.000239444,0.000239444,0.000239444
33,324.013,0.82572,1.56773,1.23787,0.00333,1,0.995,0.8955,0.47132,2.84327,1.11511,0.000234496,0.000234496,0.000234496
34,333.491,0.73543,1.47149,1.14562,0.00333,1,0.995,0.8955,0.47132,2.84327,1.11511,0.000228756,0.000228756,0.000228756
35,344.188,0.661,1.46835,1.18597,0.00333,1,0.995,0.796,0.62572,2.86615,1.19644,0.000222224,0.000222224,0.000222224
36,382.186,0.72282,1.4136,1.13544,0.00333,1,0.995,0.796,0.62572,2.86615,1.19644,0.0002149,0.0002149,0.0002149
37,425.49,0.63854,1.35059,1.16576,0.00333,1,0.995,0.796,0.68059,2.88098,1.2211,0.000206784,0.000206784,0.000206784
38,437.788,0.74299,1.45321,1.27571,0.00333,1,0.995,0.796,0.68059,2.88098,1.2211,0.000197876,0.000197876,0.000197876
39,454.552,0.7406,1.42311,1.29262,0.00333,1,0.995,0.796,0.65513,2.91356,1.19259,0.000188176,0.000188176,0.000188176
40,464.926,0.7522,1.35342,1.30559,0.00333,1,0.995,0.796,0.65513,2.91356,1.19259,0.000177684,0.000177684,0.000177684
41,476.847,0.83443,1.97449,1.37547,0.00333,1,0.995,0.8955,0.33864,2.72091,1.07494,0.0001664,0.0001664,0.0001664
42,493.96,0.84804,1.86324,1.70738,0.00333,1,0.995,0.8955,0.33864,2.72091,1.07494,0.000154324,0.000154324,0.000154324
43,502.295,0.83127,1.86015,1.75698,0.00333,1,0.995,0.8955,0.33058,2.79189,1.12678,0.000141456,0.000141456,0.000141456
44,518.039,0.58584,1.62158,1.2298,0.00333,1,0.995,0.8955,0.33058,2.79189,1.12678,0.000127796,0.000127796,0.000127796
45,525.648,0.73889,1.7853,1.39478,0.00333,1,0.995,0.8955,0.38,2.7244,1.14452,0.000113344,0.000113344,0.000113344
46,542.546,0.49529,1.58666,1.13844,0.00333,1,0.995,0.8955,0.38,2.7244,1.14452,9.81e-05,9.81e-05,9.81e-05
47,587.056,0.46579,1.56686,1.11474,0.00333,1,0.995,0.8955,0.46155,2.67744,1.16977,8.2064e-05,8.2064e-05,8.2064e-05
48,636.296,0.5587,1.56887,1.19031,0.00333,1,0.995,0.8955,0.46155,2.67744,1.16977,6.5236e-05,6.5236e-05,6.5236e-05
49,666.418,0.44698,1.50728,1.06929,0.00333,1,0.995,0.8955,0.47939,2.63514,1.14857,4.7616e-05,4.7616e-05,4.7616e-05
50,693.582,0.57761,1.58304,1.1332,0.00333,1,0.995,0.8955,0.47939,2.63514,1.14857,2.9204e-05,2.9204e-05,2.9204e-05
